addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,building
Alcalá de Henares,37,28804,,Avenida Lope de Figueroa,
,,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,37,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,,28804,,Avenida de Valladolid,
Alcalá de Henares,6,28804,,Avenida de Castilla,
Alcalá de Henares,4,28804,,Avenida de Castilla,
Alcalá de Henares,2,28804,,Avenida de Castilla,
Alcalá de Henares,2,28804,,Avenida de Castilla,
Alcalá de Henares,,28804,,Calle Salamanca,
Alcalá de Henares,23,28804,,Calle Segovia,
Alcalá de Henares,19,28804,,Calle Segovia,
Alcalá de Henares,31,28804,,Avenida Lope de Figueroa,
Alcalá de Henares,26,28804,,Avenida Don Juan de Austria,
Alcalá de Henares,24,28804,,Avenida Don Juan de Austria,
,65,28805,,Vía Complutense,
,67,28805,,Vía Complutense,
,65,28805,,Vía Complutense,
Alcalá de Henares,65,28805,,Vía Complutense,
Alcalá de Henares,14,28804,,Calle Gil de Andrade,
,12,28804,,Calle Gil de Andrade,
,10,28804,,Calle Gil de Andrade,
,12,28804,,Calle Gil de Andrade,
Alcalá de Henares,14,28804,,Calle Gil de Andrade,
Alcalá de Henares,16,28804,,Calle Gil de Andrade,
Alcalá de Henares,18,28804,,Calle Gil de Andrade,
,10,28804,,Calle Gil de Andrade,
,10,28804,,Calle Gil de Andrade,
,8,28804,,Calle Gil de Andrade,
,6,28804,,Calle Gil de Andrade,
,4,28804,,Calle Gil de Andrade,
,2,28804,,Calle Gil de Andrade,
,4,28804,,Calle Gil de Andrade,
,1,28804,,Calle Gil de Hontañón,
,3,28804,,Calle Gil de Hontañón,
,5,28804,,Calle Gil de Hontañón,
,7,28804,,Calle Gil de Hontañón,
,9,28804,,Calle Gil de Hontañón,
,11,28804,,Calle Gil de Hontañón,
,13,28804,,Calle Gil de Hontañón,
,15,28804,,Calle Gil de Hontañón,
,17,28804,,Calle Gil de Hontañón,
Alcalá de Henares,1Bis,28804,,Calle Zaragoza,
Alcalá de Henares,13,28804,,Calle Toledo,
Alcalá de Henares,11,28804,,Calle Toledo,
Alcalá de Henares,9,28804,,Calle Toledo,
Alcalá de Henares,7,28804,,Calle Toledo,
Alcalá de Henares,5,28804,,Calle Toledo,
Alcalá de Henares,3,28804,,Calle Toledo,
Alcalá de Henares,1,28804,,Calle Toledo,
Alcalá de Henares,1A,28804,,Calle Toledo,
Alcalá de Henares,3,28804,,Calle Cuenca,
Alcalá de Henares,1,28804,,Calle Cuenca,
Alcalá de Henares,2,28804,,Calle Toledo,
Alcalá de Henares,4,28804,,Calle Toledo,
Alcalá de Henares,6,28804,,Calle Toledo,
Alcalá de Henares,8,28804,,Calle Toledo,
Alcalá de Henares,1,28804,,Calle Albacete,
Alcalá de Henares,3,28804,,Calle Albacete,
Alcalá de Henares,5,28804,,Calle Albacete,
Alcalá de Henares,10,28804,,Calle Toledo,
Alcalá de Henares,12,28804,,Calle Toledo,
Alcalá de Henares,14,28804,,Calle Toledo,
Alcalá de Henares,16,28804,,Calle Toledo,
Alcalá de Henares,16,28804,,Calle Toledo,
Alcalá de Henares,2,28804,,Calle Menorca,
Alcalá de Henares,4,28804,,Calle Menorca,
Alcalá de Henares,6,28804,,Calle Menorca,
Alcalá de Henares,8,28804,,Calle Menorca,
Alcalá de Henares,10,28804,,Calle Menorca,
Alcalá de Henares,12,28804,,Calle Menorca,
Alcalá de Henares,14,28804,,Calle Menorca,
Alcalá de Henares,16,28804,,Calle Menorca,
Alcalá de Henares,18,28804,,Calle Menorca,
Alcalá de Henares,20,28804,,Calle Menorca,
Alcalá de Henares,22,28804,,Calle Menorca,
Alcalá de Henares,24,28804,,Calle Menorca,
Alcalá de Henares,26,28804,,Calle Menorca,
Alcalá de Henares,28,28804,,Calle Menorca,
Alcalá de Henares,30,28804,,Calle Menorca,
Alcalá de Henares,3,28804,,Calle Menorca,
Alcalá de Henares,5,28804,,Calle Menorca,
Alcalá de Henares,7,28804,,Calle Menorca,
Alcalá de Henares,9,28804,,Calle Menorca,
Alcalá de Henares,11,28804,,Calle Menorca,
Alcalá de Henares,13,28804,,Calle Menorca,
Alcalá de Henares,15,28804,,Calle Menorca,
Alcalá de Henares,17,28804,,Calle Menorca,
Alcalá de Henares,19,28804,,Calle Menorca,
Alcalá de Henares,21,28804,,Calle Menorca,
Alcalá de Henares,1,28804,,Calle Zaragoza,
Alcalá de Henares,3,28804,,Calle Zaragoza,
Alcalá de Henares,5,28804,,Calle Zaragoza,
Alcalá de Henares,7,28804,,Calle Zaragoza,
Alcalá de Henares,9,28804,,Calle Zaragoza,
Alcalá de Henares,11,28804,,Calle Zaragoza,
Alcalá de Henares,13,28804,,Calle Zaragoza,
Alcalá de Henares,15,28804,,Calle Zaragoza,
Alcalá de Henares,17,28804,,Calle Zaragoza,
Alcalá de Henares,19,28804,,Calle Zaragoza,
Alcalá de Henares,21,28804,,Calle Zaragoza,
Alcalá de Henares,23,28804,,Calle Zaragoza,
Alcalá de Henares,25,28804,,Calle Zaragoza,
Alcalá de Henares,27,28804,,Calle Zaragoza,
Alcalá de Henares,29,28804,,Calle Zaragoza,
Alcalá de Henares,31,28804,,Calle Zaragoza,
Alcalá de Henares,33,28804,,Calle Zaragoza,
Alcalá de Henares,35,28804,,Calle Zaragoza,
Alcalá de Henares,37,28804,,Calle Zaragoza,
Alcalá de Henares,27,28804,,Calle Mallorca,
Alcalá de Henares,25,28804,,Calle Mallorca,
Alcalá de Henares,23,28804,,Calle Mallorca,
Alcalá de Henares,21,28804,,Calle Mallorca,
Alcalá de Henares,19,28804,,Calle Mallorca,
Alcalá de Henares,17,28804,,Calle Mallorca,
Alcalá de Henares,15,28804,,Calle Mallorca,
Alcalá de Henares,13,28804,,Calle Mallorca,
Alcalá de Henares,11,28804,,Calle Mallorca,
Alcalá de Henares,9,28804,,Calle Mallorca,
Alcalá de Henares,7,28804,,Calle Mallorca,
Alcalá de Henares,5,28804,,Calle Mallorca,
Alcalá de Henares,3,28804,,Calle Mallorca,
Alcalá de Henares,1,28804,,Calle Mallorca,
Alcalá de Henares,34,28804,,Calle Mallorca,
Alcalá de Henares,32,28804,,Calle Mallorca,
Alcalá de Henares,30,28804,,Calle Mallorca,
Alcalá de Henares,28,28804,,Calle Mallorca,
Alcalá de Henares,26,28804,,Calle Mallorca,
Alcalá de Henares,24,28804,,Calle Mallorca,
Alcalá de Henares,22,28804,,Calle Mallorca,
Alcalá de Henares,20,28804,,Calle Mallorca,
Alcalá de Henares,16,28804,,Calle Mallorca,
Alcalá de Henares,14,28804,,Calle Mallorca,
Alcalá de Henares,12,28804,,Calle Mallorca,
Alcalá de Henares,10,28804,,Calle Mallorca,
Alcalá de Henares,8,28804,,Calle Mallorca,
Alcalá de Henares,6,28804,,Calle Mallorca,
Alcalá de Henares,4,28804,,Calle Mallorca,
Alcalá de Henares,2,28804,,Calle Mallorca,
Alcalá de Henares,1,28804,,Calle Córdoba,
Alcalá de Henares,3,28804,,Calle Córdoba,
Alcalá de Henares,3,28804,,Calle Córdoba,
Alcalá de Henares,5,28804,,Calle Córdoba,
Alcalá de Henares,9,28804,,Calle Córdoba,
Alcalá de Henares,11,28804,,Calle Córdoba,
Alcalá de Henares,13,28804,,Calle Córdoba,
